group_name,folder_name,folder_value
wordsinourveins,UNUSED,-1
writingpros,UNUSED,-1
write-until-you-die,UNUSED,-1
words-of-war,UNUSED,-1
literary-expressions,UNUSED,-1
writers-pack,UNUSED,-1
lovers-in-lit,UNUSED,-1
just-write-it,UNUSED,-1
the-writing-exchange,UNUSED,-1
thestoryliveson,UNUSED,-1
wordflight,UNUSED,-1
writefromtheheart,UNUSED,-1
globalwriters,UNUSED,-1
writing-obsession,UNUSED,-1
emotionscollide,UNUSED,-1
words-to-the-world,UNUSED,-1
story-tellers,UNUSED,-1
artist-revolution,UNUSED,-1
the-write-group,UNUSED,-1
word-wit,UNUSED,-1
artist-exposure,UNUSED,-1
independent-writer,UNUSED,-1
escape-of-a-writer,UNUSED,-1
thewritersmeow,UNUSED,-1
fiction-writers,UNUSED,-1
love-original-lit,UNUSED,-1
thewriteplace,UNUSED,-1
write-write-on,UNUSED,-1
writing-central,UNUSED,-1
we-live-to-write,UNUSED,-1
writing-is-escapism,UNUSED,-1
fancifulwriters,UNUSED,-1
the-writers-study,UNUSED,-1
good-literature,UNUSED,-1
writtenexcellence,UNUSED,-1
literature-anonymous,UNUSED,-1
worthywriters,UNUSED,-1
literature-unleashed,UNUSED,-1
